Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
California,Weekly,13/12/2020 0:00,Conventional,1.130373873,5654914.26,1525360.79,643121.46,172766.74,1144285.61,0,0,0,2169379.67
California,Weekly,20/12/2020 0:00,Conventional,1.204143831,5615031.44,1444468.95,542594.69,157085.61,1363597.57,0,0,0,2107284.61
California,Weekly,27/12/2020 0:00,Conventional,1.09236848,5757598.41,1537941.5,599172.04,157042.35,1046003.11,0,0,0,2417439.4
Great Lakes,Weekly,6/01/2020 0:00,Conventional,0.964466503,3908582.84,814090.3,806340.52,317423.3,464037.64,0,0,0,1506691.07
Great Lakes,Weekly,12/01/2020 0:00,Conventional,1.034143541,3903810.13,833709.74,619109.57,207701.97,610866.48,0,0,0,1632422.37
Great Lakes,Weekly,19/01/2020 0:00,Conventional,0.993685133,4270934.23,777424.43,1058403.46,418351.96,526528.17,0,0,0,1490226.21
Great Lakes,Weekly,26/01/2020 0:00,Conventional,1.092170319,3649629.27,670789.27,620859.05,174437.63,1029945.1,0,0,0,1153598.24
Great Lakes,Weekly,2/02/2020 0:00,Conventional,0.798124154,5729623.3,1046393.21,1154601.04,443921.16,1010222.74,0,0,0,2074485.16
Great Lakes,Weekly,9/02/2020 0:00,Conventional,0.970189315,3947839.35,823251.85,756912.34,245399.03,573950.11,0,0,0,1548326.01
Great Lakes,Weekly,16/02/2020 0:00,Conventional,1.152901847,3214145.27,649501.92,545433.65,161450.83,576240.72,0,0,0,1281518.15
Great Lakes,Weekly,23/02/2020 0:00,Conventional,1.113273551,3847029.75,727210.44,733173.58,315968.19,584752.61,0,0,0,1485924.92
Great Lakes,Weekly,1/03/2020 0:00,Conventional,1.155571134,3597034.49,786489.62,527090.86,162441.93,576618.63,0,0,0,1544393.45
Great Lakes,Weekly,8/03/2020 0:00,Conventional,1.167478152,3843503.36,731496.57,518730.05,156195.15,976923.57,0,0,0,1460158.03
Great Lakes,Weekly,15/03/2020 0:00,Conventional,1.357595838,4084779.63,925898.33,608421.68,180957.08,776766.43,0,0,0,1592736.1
Great Lakes,Weekly,22/03/2020 0:00,Conventional,1.288235117,4185317.47,995543.07,671069.44,177498.63,682241.98,0,0,0,1658964.35
Great Lakes,Weekly,29/03/2020 0:00,Conventional,1.152227104,3942914.25,949832.66,622854.11,155528.71,767210.05,0,0,0,1447488.72
Great Lakes,Weekly,5/04/2020 0:00,Conventional,1.17228104,4177311.38,1123242,697197.19,179131.65,688161.97,0,0,0,1489578.57
Great Lakes,Weekly,12/04/2020 0:00,Conventional,1.331498603,3965850.67,1047192.84,633348.88,208602.6,665664.2,0,0,0,1411042.15
Great Lakes,Weekly,19/04/2020 0:00,Conventional,1.348308991,3864124.69,1013292.37,636614.68,192544.07,659688.37,0,0,0,1361985.21
Great Lakes,Weekly,26/04/2020 0:00,Conventional,1.354150338,4237052.27,1110024.21,672501.3,216255.01,743790.79,0,0,0,1494480.97
Great Lakes,Weekly,3/05/2020 0:00,Conventional,1.060083977,5562356.95,1467797.3,854431.12,229439.06,768527.32,0,0,0,2242162.15
Great Lakes,Weekly,10/05/2020 0:00,Conventional,1.159564689,5229536.96,1562781.23,840476.58,331296.59,781093,0,0,0,1713889.57
Great Lakes,Weekly,17/05/2020 0:00,Conventional,1.30043166,4290058.52,1099442.42,708286.58,218706.92,763181.77,0,0,0,1500440.83
Great Lakes,Weekly,24/05/2020 0:00,Conventional,1.226240494,4853867.45,1309213.4,768992.89,341524.86,794792.9,0,0,0,1639343.4
